epoch,calc_IOU,loss,val_calc_IOU,val_loss
0,0.10904616862535477,0.892734706401825,0.14857438206672668,0.8473044037818909
1,0.1773599535226822,0.8221644163131714,0.1914735585451126,0.8026392459869385
2,0.19814100861549377,0.8007412552833557,0.2003723829984665,0.7926040887832642
3,0.2028249204158783,0.7988386750221252,0.19875702261924744,0.7945356965065002
4,0.203385591506958,0.7970777750015259,0.19892728328704834,0.7943384051322937
5,0.2009333223104477,0.7976226210594177,0.19906458258628845,0.794184684753418
6,0.20334239304065704,0.7967938780784607,0.19910846650600433,0.7941354513168335
7,0.2040576934814453,0.7952278852462769,0.19910928606987,0.7941345572471619
8,0.2033856064081192,0.7968082427978516,0.19910958409309387,0.7941341996192932
9,0.1999100148677826,0.7978439331054688,0.19910958409309387,0.7941341996192932
10,0.20426486432552338,0.7956224083900452,0.19910958409309387,0.7941341996192932
11,0.20273357629776,0.7980456352233887,0.19910958409309387,0.7941341996192932
12,0.2025448977947235,0.7968581318855286,0.19910958409309387,0.7941341996192932
13,0.2045837938785553,0.7976071834564209,0.19910958409309387,0.7941341996192932
14,0.2025342881679535,0.7984434366226196,0.19910958409309387,0.7941341996192932
15,0.20288412272930145,0.7977266907691956,0.19910958409309387,0.7941341996192932
16,0.20285220444202423,0.7964446544647217,0.19910958409309387,0.7941341996192932
17,0.20365078747272491,0.7959824204444885,0.19910958409309387,0.7941341996192932
18,0.20465214550495148,0.7969407439231873,0.19910958409309387,0.7941341996192932
19,0.20260176062583923,0.7978827953338623,0.19910958409309387,0.7941341996192932
20,0.20396380126476288,0.7961916327476501,0.19910958409309387,0.7941341996192932
21,0.20502951741218567,0.7964446544647217,0.19910958409309387,0.7941341996192932
22,0.202331081032753,0.7973776459693909,0.19910958409309387,0.7941341996192932
23,0.20172151923179626,0.7978344559669495,0.19910958409309387,0.7941341996192932
24,0.2005200833082199,0.7974144816398621,0.19910958409309387,0.7941341996192932
25,0.20089635252952576,0.7972580790519714,0.19910958409309387,0.7941341996192932
26,0.20161563158035278,0.7975806593894958,0.19910958409309387,0.7941341996192932
27,0.2031833976507187,0.7961214780807495,0.19910958409309387,0.7941341996192932
28,0.20096006989479065,0.7982631325721741,0.19910958409309387,0.7941341996192932
29,0.2020474225282669,0.7964364290237427,0.19910958409309387,0.7941341996192932
30,0.202998548746109,0.7967680096626282,0.19910958409309387,0.7941341996192932
31,0.2037166804075241,0.7970834374427795,0.19910958409309387,0.7941341996192932
32,0.2034643292427063,0.7970177531242371,0.19910958409309387,0.7941341996192932
33,0.20402328670024872,0.7966324687004089,0.19910958409309387,0.7941341996192932
34,0.20524317026138306,0.7968003153800964,0.19910958409309387,0.7941341996192932
35,0.20090961456298828,0.7975117564201355,0.19910958409309387,0.7941341996192932
36,0.20158885419368744,0.7964620590209961,0.19910958409309387,0.7941341996192932
37,0.20141392946243286,0.7962937355041504,0.19910958409309387,0.7941341996192932
38,0.20257197320461273,0.7982349991798401,0.19910958409309387,0.7941341996192932
39,0.20432636141777039,0.796773374080658,0.19910958409309387,0.7941341996192932
40,0.20016494393348694,0.7974775433540344,0.19910958409309387,0.7941341996192932
41,0.20437680184841156,0.7973241209983826,0.19910958409309387,0.7941341996192932
42,0.20394429564476013,0.7953271865844727,0.19910958409309387,0.7941341996192932
43,0.20503827929496765,0.7961886525154114,0.19910958409309387,0.7941341996192932
44,0.2032914161682129,0.7984099388122559,0.19910958409309387,0.7941341996192932
45,0.20502789318561554,0.796095073223114,0.19910958409309387,0.7941341996192932
46,0.20225173234939575,0.7973360419273376,0.19910958409309387,0.7941341996192932
47,0.20411774516105652,0.7971046566963196,0.19910958409309387,0.7941341996192932
48,0.20357011258602142,0.7982561588287354,0.19910958409309387,0.7941341996192932
49,0.20321090519428253,0.7970741391181946,0.19910958409309387,0.7941341996192932
50,0.20194798707962036,0.7979579567909241,0.19910958409309387,0.7941341996192932
51,0.20347826182842255,0.7972038984298706,0.19910958409309387,0.7941341996192932
52,0.20440472662448883,0.7952157258987427,0.19910958409309387,0.7941341996192932
53,0.20383316278457642,0.7947137951850891,0.19910958409309387,0.7941341996192932
54,0.20158837735652924,0.7979809045791626,0.19910958409309387,0.7941341996192932
55,0.20272377133369446,0.7974926233291626,0.19910958409309387,0.7941341996192932
56,0.203390970826149,0.7969239354133606,0.19910958409309387,0.7941341996192932
57,0.20187894999980927,0.7969822287559509,0.19910958409309387,0.7941341996192932
58,0.20084713399410248,0.7982121706008911,0.19910958409309387,0.7941341996192932
59,0.2020626962184906,0.7969039678573608,0.19910958409309387,0.7941341996192932
60,0.2023538202047348,0.7973446249961853,0.19910958409309387,0.7941341996192932
61,0.2040804922580719,0.7952430844306946,0.19910958409309387,0.7941341996192932
62,0.2016095221042633,0.7987395524978638,0.19910958409309387,0.7941341996192932
63,0.2033219188451767,0.7973432540893555,0.19910958409309387,0.7941341996192932
64,0.20143747329711914,0.797494113445282,0.19910958409309387,0.7941341996192932
65,0.20167945325374603,0.797626793384552,0.19910958409309387,0.7941341996192932
66,0.2016509473323822,0.7977126240730286,0.19910958409309387,0.7941341996192932
67,0.2001706063747406,0.7977074980735779,0.19910958409309387,0.7941341996192932
68,0.2036183625459671,0.7975286245346069,0.19910958409309387,0.7941341996192932
69,0.20297299325466156,0.7974218726158142,0.19910958409309387,0.7941341996192932
70,0.2035035938024521,0.7970554828643799,0.19910958409309387,0.7941341996192932
71,0.20334522426128387,0.797013521194458,0.19910958409309387,0.7941341996192932
72,0.20289427042007446,0.7955109477043152,0.19910958409309387,0.7941341996192932
73,0.20384183526039124,0.7953311204910278,0.19910958409309387,0.7941341996192932
74,0.20183393359184265,0.7981418371200562,0.19910958409309387,0.7941341996192932
75,0.20238129794597626,0.7979610562324524,0.19910958409309387,0.7941341996192932
76,0.204676553606987,0.7958551049232483,0.19910958409309387,0.7941341996192932
77,0.20181457698345184,0.7964931130409241,0.19910958409309387,0.7941341996192932
78,0.2025040239095688,0.7977920174598694,0.19910958409309387,0.7941341996192932
79,0.2040252536535263,0.796800434589386,0.19910958409309387,0.7941341996192932
80,0.20540016889572144,0.7959043383598328,0.19910958409309387,0.7941341996192932
81,0.20186510682106018,0.7979086637496948,0.19910958409309387,0.7941341996192932
82,0.20397105813026428,0.7962225675582886,0.19910958409309387,0.7941341996192932
83,0.20380613207817078,0.7971851825714111,0.19910958409309387,0.7941341996192932
84,0.2019859403371811,0.797007143497467,0.19910958409309387,0.7941341996192932
85,0.2033657431602478,0.7966493368148804,0.19910958409309387,0.7941341996192932
86,0.20292194187641144,0.7965471148490906,0.19910958409309387,0.7941341996192932
87,0.2028246372938156,0.7957252860069275,0.19910958409309387,0.7941341996192932
88,0.20218810439109802,0.7964441180229187,0.19910958409309387,0.7941341996192932
89,0.20381218194961548,0.7963393926620483,0.19910958409309387,0.7941341996192932
90,0.20146043598651886,0.7968868613243103,0.19910958409309387,0.7941341996192932
91,0.20026782155036926,0.7979748845100403,0.19910958409309387,0.7941341996192932
